nccl_broadcast_ms,wall_broadcast_s,nccl_kernel_ms,wall_kernel_s,nccl_reduce_ms,wall_reduce_s,total_buffer_size_bytes
891.723,0.893625,4.00634,0.00401828,917.159,0.917177,1073741824
891.743,0.893586,4.01334,0.00402549,917.181,0.917191,1073741824
891.717,0.893623,4.00614,0.00401911,917.14,0.917151,1073741824
891.778,0.893695,4.03152,0.00404421,917.176,0.917185,1073741824
891.72,0.893626,4.00586,0.00401705,917.237,0.917246,1073741824
891.718,0.893626,4.00586,0.00401774,917.429,0.917439,1073741824
891.783,0.893696,4.02973,0.0040418,917.467,0.917477,1073741824
891.706,0.893616,4.00474,0.00401645,917.239,0.91725,1073741824
891.736,0.893644,4.00352,0.00401542,917.45,0.917459,1073741824
891.727,0.893637,4.00451,0.00401714,917.176,0.917185,1073741824
