broadcast_s,h2d_transfer_s,kernel_execution_s,d2h_transfer_s,reduce_op_s,total_buffer_size_bytes
0.245989,0.100461,0.00401695,0.0938895,0.467208,1073741824
0.246033,0.100501,0.00403757,0.0939734,0.467148,1073741824
0.246065,0.100506,0.00404585,0.0939066,0.467213,1073741824
0.24636,0.10047,0.0040219,0.0939117,0.46744,1073741824
0.245881,0.100459,0.00401726,0.0939015,0.467055,1073741824
0.246004,0.10049,0.00404684,0.0939246,0.46693,1073741824
0.245999,0.100457,0.00401892,0.0938828,0.466891,1073741824
0.245931,0.100498,0.0040469,0.093888,0.467194,1073741824
0.245904,0.100451,0.00401568,0.0939103,0.467122,1073741824
0.245956,0.100445,0.00401624,0.0938791,0.467189,1073741824
