nccl_broadcast_ms,wall_broadcast_s,nccl_kernel_ms,wall_kernel_s,nccl_reduce_ms,wall_reduce_s,total_buffer_size_bytes
397.962,0.405517,15.977,0.0159876,426.944,0.426963,4294967296
396.885,0.404414,15.9805,0.0159896,427.478,0.427491,4294967296
396.865,0.404424,15.9727,0.0159839,426.001,0.426012,4294967296
396.864,0.404425,15.9717,0.0159806,428.068,0.428083,4294967296
395.344,0.402874,15.9824,0.0159931,425.175,0.425186,4294967296
396.794,0.404352,15.9769,0.015989,428.185,0.428196,4294967296
396.897,0.404456,15.9764,0.0159862,428.032,0.428043,4294967296
396.154,0.403712,15.9748,0.0159866,430.804,0.430819,4294967296
398.276,0.405806,15.9812,0.0159925,424.947,0.424959,4294967296
396.9,0.404455,15.9756,0.0159868,429.623,0.429635,4294967296
